"Extension Number","SIP Password","Extension Name",Email,Language,Status,"Web Password",Group,"Is Phonebook",Timezone,"Bypass Media","External CallerID",DID,"Max Calls",Forwarding,"Ring Timeout(Sec)","Dial Timeout(sec.)","Max Timeout(sec.)","Video Calling","Auto Recording","DTMF Type","Multiple Registration","Dial Out","Voice Mail","Voice Mail Password",Fax,"Audio Codecs","Video Codecs","Enable SMS","SMS Caller ID","Instant Messaging","KaleyraPhone Status","KaleyraPhone Username"
651130,Admin@123,EXT1780305651130,ext1780305651130@testmail.com,English,Active,&*ra2@LSl6BA,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,4191736006,Enabled,PCMA,,Inactive,,Inactive,Inactive,651130@ucpbx4qa
694067,Admin@123,EXT1780305994067,ext1780305994067@testmail.com,English,Active,u%jrY7GuJ7W9,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,2115660182,Enabled,PCMA,,Inactive,,Inactive,Inactive,694067@ucpbx4qa
675541,Admin@123,EXT1780306175541,ext1780306175541@testmail.com,English,Active,9g5N3bJii?sy,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,3126629726,Enabled,PCMA,,Inactive,,Inactive,Inactive,675541@ucpbx4qa
637314,Admin@123,EXT1780306437314,ext1780306437314@testmail.com,English,Active,7F3(DjuJsgV{,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9343132648,Enabled,PCMA,,Inactive,,Inactive,Inactive,637314@ucpbx4qa
644385,Admin@123,EXT1780306744385,ext1780306744385@testmail.com,English,Active,Admin@123,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,3096444761,Enabled,PCMA,,Inactive,,Inactive,Inactive,644385@ucpbx4qa
647718,Admin@123,EXT1780314647718,ext1780314647718@testmail.com,English,Active,Admin@123,grp1,Yes,Asia/Kolkata,No,+16474243139,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,6677739341,Enabled,PCMA,,Inactive,,Inactive,Inactive,647718@ucpbx4qa
600670,Admin@123,EXT1780315400670,ext1780315400670@testmail.com,English,Active,9VN?lyav?qze,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,2004789089,Enabled,PCMA,,Inactive,,Inactive,Inactive,600670@ucpbx4qa
646095,Admin@123,EXT1780315646095,ext1780315646095@testmail.com,English,Active,7AzcT6FZZ)x),grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,2181683795,Enabled,PCMA,,Inactive,,Inactive,Inactive,646095@ucpbx4qa
624690,Admin@123,EXT1780315824690,ext1780315824690@testmail.com,English,Active,Ia4K1P00$f?!,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,5746859788,Enabled,PCMA,,Inactive,,Inactive,Inactive,624690@ucpbx4qa
7771,Admin@123,Dontuse,roshan.waasdfgh@ecosmob.com,English,Active,Admin@123,grp1,Yes,Africa/Abidjan,No,+13024501730,,2,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,6405989938,Enabled,PCMA,,Inactive,,Inactive,Inactive,7771@ucpbx4qa
7772,Admin@123,Dontuse2,roshasdfsdnDwagh234@gmail.com,English,Active,Admin@123,grp1,Yes,Africa/Abidjan,No,+13024501731,,2,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,9785233269,Enabled,PCMA,,Inactive,,Inactive,Active,7772@ucpbx4qa
5451,Admin@123,Dontuse54,jignesh.b.patel@ecosmob.com,English,Active,Admin@123,grp1,Yes,Africa/Abidjan,No,+13024501732,,2,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,3347505803,Enabled,PCMA,,Inactive,,Inactive,Active,5451@ucpbx4qa
9999,rI6WacvP{4I4,9999,sample@fddsl.com,English,Active,6Am?jqJgJ832,grp1,Yes,Asia/Kolkata,No,+13024501731,,5,ENABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,6632522269,Enabled,PCMA,,Inactive,,Inactive,Active,9999@ucpbx4qa
8888,U27$HVKglWaV,8888,heyram@gmail.com,English,Active,Admin@123,grp1,Yes,Asia/Kolkata,No,+13024501731,,6,ENABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,0267897879,Enabled,PCMA,,Inactive,,Inactive,Active,8888@ucpbx4qa
2222,Admin@123,abhilash,Test56876@gmail.com,English,Active,Admin@123,grp1,Yes,Africa/Abidjan,No,+13024501730,,1,"INDIVIDUAL FORWARDING",60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Active,Active,5353244381,Enabled,"PCMA,PCMU",,Inactive,,Inactive,Active,2222@ucpbx4qa
694884,Admin@123,EXT1781257794884,ext1781257794884@testmail.com,English,Active,$gA@I79T$y5R,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,9114823976,Enabled,PCMA,,Inactive,,Inactive,Active,694884@ucpbx4qa
643154,Admin@123,EXT1781258243154,ext1781258243154@testmail.com,English,Active,UNj77w44{HP&,grp1,Yes,Asia/Kolkata,No,,,3,DISABLE,60,60,3600,Inactive,DISABLE,"IN BAND",Enabled,Inactive,Active,8022233574,Enabled,PCMA,,Inactive,,Inactive,Active,643154@ucpbx4qa
